"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
215,658,"f",11.6,0,1,"old",1,0.575458617501156,0.575458617501156,0.575458617501156,-0.208321230994371
219,663,"f",11.88,0,4,"old",1,2.29413946684072,2.29413946684072,0.57353486671018,0.192142356311582
220,665,"f",10.73,0,9,"old",2,9.77975027872159,6.37330221720651,1.08663891985795,-1.45261880583786
221,666,"f",10.72,0,21,"old",2,13.0105805063767,6.52116372263229,0.619551452684605,-1.46692107681307
223,670,"f",12.15,0,21,"old",1,11.3605804949549,11.3605804949549,0.540980023569281,0.57830367264232
228,726,"f",11.1,0,4,"old",1,20.8651820664265,20.8651820664265,5.21629551660662,-0.923434779754998
234,753,"f",12,0,3,"juvenil",1,2.36442866380689,2.36442866380689,0.78814288793563,0.363769608014131
235,767,"f",10.76,0,9,"old",1,1.91525044310236,1.91525044310236,0.212805604789151,-1.40971199291222
236,768,"f",12.71,0,9,"old",1,2.44848800814868,2.44848800814868,0.272054223127631,1.37923084725422
240,788,"f",11.56,0,1,"juvenil",1,1.19783116633575,1.19783116633575,1.19783116633575,-0.26553031489522
242,814,"f",12.65,0,0,"juvenil",1,3.20007375075694,3.20007375075694,Inf,1.29341722140295
245,820,"f",11.73,0,2,"juvenil",1,2.62554180833972,2.62554180833972,1.31277090416986,-0.0223917083166066
246,821,"f",10.21,0,3,"juvenil",3,7.62563485504061,3.25509916009315,2.54187828501354,-2.19633689654891
248,827,"f",10.48,0,19,"juvenil",1,0.995585884691692,0.995585884691692,0.0523992570890364,-1.81017558021817
251,849,"f",11.24,0,3,"old",1,21.7989621959425,21.7989621959425,7.26632073198083,-0.723202986102021
252,853,"f",12.08,0,22,"intermediate",1,23.3366074041232,23.3366074041232,1.0607548820056,0.478187775815832
260,878,"f",12.08,0,7,"juvenil",1,3.74168867409628,3.74168867409628,0.534526953442326,0.478187775815832
261,880,"f",11.81,0,1,"intermediate",1,2.23788502594516,2.23788502594516,2.23788502594516,0.0920264594850938
262,887,"f",12.42,0,18,"intermediate",1,1.79036163772736,1.79036163772736,0.0994645354292978,0.964464988973058
268,912,"f",11.76,0,1,"juvenil",1,7.64324096336637,7.64324096336637,7.64324096336637,0.0205151046090301
269,913,"f",12.01,0,1,"juvenil",1,2.25162337305227,2.25162337305227,2.25162337305227,0.378071878989344
274,934,"f",12.03,0,12,"old",1,1.74699688224259,1.74699688224259,0.145583073520216,0.406676420939768
276,955,"f",12.13,0,30,"old",1,0.987814176378857,0.987814176378857,0.0329271392126286,0.549699130691896
283,984,"f",11.2,0,17,"old",1,117.181823567918,117.181823567918,6.89304844517165,-0.780412070002873
285,1063,"f",11.09,0,13,"juvenil",2,1.82316223435141,1.26672628128846,0.140243248796262,-0.93773705073021
287,1071,"f",11.94,0,6,"old",1,23.0154877703367,23.0154877703367,3.83591462838945,0.277955982162855
289,1074,"f",11.99,0,12,"old",1,4.9396513258165,4.9396513258165,0.411637610484708,0.349467337038919
290,1076,"f",11.05,0,14,"old",1,3.27422880794053,3.27422880794053,0.233873486281466,-0.994946134631059
297,1115,"f",11.79,0,12,"intermediate",1,0.846227866555408,0.846227866555408,0.0705189888796173,0.0634219175346668
298,1117,"f",11.97,0,11,"juvenil",1,2.06787200146298,2.06787200146298,0.187988363769362,0.320862795088495
299,1130,"f",11.86,0,12,"juvenil",1,3.31297205895812,3.31297205895812,0.276081004913177,0.163537814361155
301,1139,"f",11.72,0,15,"old",1,0.964934340836687,0.964934340836687,0.0643289560557791,-0.0366939792918189
302,1140,"f",12.01,0,26,"old",2,226.428518315244,225.430484969653,8.70878916597092,0.378071878989344
304,1144,"f",11.43,0,15,"juvenil",1,2.65424643999234,2.65424643999234,0.176949762666156,-0.451459837572984
305,1170,"f",11.95,0,24,"juvenil",1,2.32915647619594,2.32915647619594,0.0970481865081642,0.292258253138068
308,1192,"f",12.15,0,11,"old",1,7.59079262552548,7.59079262552548,0.690072056865953,0.57830367264232
